#channel,mean,dev,hits_per_channel,hits_per_packet,photo_e,gain_pmt,rate_per_channel,gain_constant,normalized_rate
1,1592.542333,36.740462,2126.000000,74438.000000,1.179782,19572992.711858,0.736723,16,0.000000
2,44.330243,30.137418,1402.000000,13070.000000,0.048808,13169827.686808,0.485835,13,0.000000
3,47.579200,32.270961,1250.000000,4311.000000,0.045687,15100516.446720,0.433163,18,0.000000
4,48.677852,32.540093,1192.000000,1701.000000,0.045972,15353435.639160,0.413064,15,0.000000
5,43.451358,26.843177,1141.000000,719.000000,0.060303,10448063.962067,0.395391,17,0.000000
6,46.456679,29.386460,1108.000000,306.000000,0.053796,12521678.112252,0.383956,19,0.000000
7,49.970767,32.040575,821.000000,117.000000,0.048676,14885677.012229,0.284501,10,0.000000
8,47.479422,24.923651,899.000000,66.000000,0.076433,9007231.762891,0.311531,10,0.000000
9,47.215207,35.187624,2170.000000,39.000000,0.038133,17953448.950817,0.751971,11,0.000000
10,48.950399,36.256629,2258.000000,25.000000,0.037238,19060875.751682,0.782465,20,0.000000
11,49.146644,36.039968,2339.000000,20.000000,0.037838,18833749.964403,0.810534,17,0.000000
12,48.139510,37.427953,1878.000000,11.000000,0.034364,20312349.308341,0.650784,16,0.000000
13,50.342457,37.365688,1571.000000,4.000000,0.036057,20244822.083183,0.544399,13,0.000000
14,53.326383,36.357224,1247.000000,5.000000,0.040342,19166792.581265,0.432123,14,0.000000
15,49.173272,30.831390,1085.000000,2.000000,0.051730,13783331.484635,0.375985,15,0.000000
16,53.701058,29.265760,756.000000,3.000000,0.062699,12419028.264186,0.261977,16,0.000000
17,55.226267,44.064345,2033.000000,4.000000,0.028443,28154163.699838,0.704496,17,0.000000
18,53.246681,40.807575,2335.000000,2.000000,0.031975,24146243.991765,0.809148,18,0.000000
19,56.710995,41.021132,1910.000000,1.000000,0.033702,24399631.833557,0.661873,19,0.000000
20,58.328185,41.995620,1295.000000,0.000000,0.033073,25572664.909587,0.448757,20,0.000000
21,58.849125,43.199346,1372.000000,1.000000,0.031534,27059660.823456,0.475440,11,0.000000
22,53.478127,36.135555,1303.000000,2.000000,0.040955,18933785.369261,0.451529,12,0.000000
23,53.839225,29.796542,877.000000,1.000000,0.060641,12873591.556163,0.303907,13,0.000000
24,54.043053,24.168969,511.000000,0.000000,0.092517,8470016.176409,0.177077,14,0.000000
25,57.045601,43.674353,1864.000000,1.000000,0.029907,27658011.961879,0.645932,15,0.000000
26,60.677899,46.267389,2018.000000,0.000000,0.028345,31039733.497138,0.699298,16,0.000000
27,58.834282,43.207665,1581.000000,1.000000,0.031514,27070083.768310,0.547864,17,0.000000
28,55.394661,38.913631,1386.000000,0.000000,0.036582,21956924.420717,0.480291,12,0.000000
29,66.335323,42.290702,1005.000000,1.000000,0.037090,25933300.440088,0.348263,14,0.000000
30,64.947862,38.073681,959.000000,0.000000,0.044804,21019275.495525,0.332323,16,0.000000
31,58.197101,37.621209,690.000000,0.000000,0.041118,20522652.631800,0.239106,11,0.000000
32,56.497525,22.838488,404.000000,0.000000,0.108317,7563149.663636,0.139998,12,0.000000
33,63.526146,46.440589,1549.000000,0.000000,0.029455,31272560.859148,0.536775,14,0.000000
34,70.451123,51.754941,1514.000000,0.000000,0.026302,38839321.535549,0.524647,16,0.000000
35,66.100555,46.865583,1621.000000,0.000000,0.030095,31847551.411323,0.561726,15,0.000000
36,63.313740,45.560281,1361.000000,0.000000,0.030502,30098218.206780,0.471628,16,0.000000
37,64.687031,40.814465,933.000000,1.000000,0.038832,24154398.595502,0.323313,12,0.000000
38,66.981013,41.872416,948.000000,0.000000,0.038203,25422838.654329,0.328511,14,0.000000
39,67.494574,41.331881,645.000000,0.000000,0.039509,24770703.642810,0.223512,11,0.000000
40,61.639279,32.590834,499.000000,0.000000,0.058032,15401355.745559,0.172919,10,0.000000
41,83.487179,53.596129,1287.000000,0.000000,0.029064,41651903.890981,0.445984,11,0.000000
42,79.351864,55.829294,1475.000000,0.000000,0.025459,45195196.301293,0.511132,13,0.000000
43,85.491660,51.523082,1259.000000,0.000000,0.032205,38492106.120129,0.436282,15,0.000000
44,69.849026,49.424266,1232.000000,0.000000,0.028594,35419991.739490,0.426925,16,0.000000
45,69.287975,40.465649,948.000000,0.000000,0.042314,23743296.996008,0.328511,15,0.000000
46,198.211568,200.727514,4495.000000,0.000000,0.004919,584227257.414331,1.557654,16,0.000000
47,62.115789,29.720138,380.000000,0.000000,0.070323,12807655.595568,0.131682,17,0.000000
48,134.295167,141.721875,4035.000000,0.000000,0.006686,291233802.505217,1.398250,17,0.000000
49,519.448704,434.549833,4513.000000,0.000000,0.002751,2738086581.749679,1.563891,14,0.000000
50,483.978252,417.452472,4966.000000,0.000000,0.002777,2526865215.453648,1.720869,10,0.000000
51,471.571368,413.864003,4729.000000,0.000000,0.002753,2483609488.764451,1.638742,15,0.000000
52,453.964498,401.475763,4704.000000,0.000000,0.002816,2337150433.148944,1.630079,12,0.000000
53,430.023316,401.448917,5018.000000,0.000000,0.002668,2336837881.615047,1.738889,13,0.000000
54,379.256173,365.919420,4860.000000,0.000000,0.002832,1941506822.415601,1.684137,14,0.000000
55,400.418062,381.543898,4717.000000,0.000000,0.002751,2110848316.075008,1.634583,15,0.000000
56,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0.000000
57,306.946498,304.288633,3869.000000,0.000000,0.003315,1342577793.464243,1.340726,17,0.000000
58,131.591927,131.906010,3617.000000,0.000000,0.007563,252288332.989189,1.253400,13,0.000000
59,128.406662,118.575660,3032.000000,0.000000,0.009133,203872714.376194,1.050680,17,0.000000
60,123.529219,108.616203,3046.000000,0.000000,0.010471,171063454.380609,1.055531,16,0.000000
61,128.491476,133.209750,3461.000000,0.000000,0.007241,257300145.472133,1.199341,11,0.000000
62,113.915454,112.318054,3229.000000,0.000000,0.009030,182922506.603739,1.118946,12,0.000000
63,118.462470,109.424466,2891.000000,0.000000,0.009894,173618850.512109,1.001819,13,0.000000
64,103.761502,92.171710,2956.000000,0.000000,0.012214,123186549.544824,1.024344,16,0.000000
