#x,y,mean,dev,hits_per_channel,hits_per_packet,photo_e,gain_pmt,norm_mean
0.500000,0.500000,1591.704715,34.134926,2418.000000,83723.000000,1.366044,16895301.451890,0.000000
0.500000,1.500000,44.155820,28.732182,1598.000000,14605.000000,0.053487,11970305.327098,0.000000
0.500000,2.500000,47.915503,32.629852,1432.000000,4921.000000,0.045003,15438255.062605,0.000000
0.500000,3.500000,48.451777,37.566721,1379.000000,1961.000000,0.034332,20463249.003361,0.000000
0.500000,4.500000,45.849840,31.804562,1252.000000,755.000000,0.045327,14667187.431739,0.000000
0.500000,5.500000,46.735882,31.116213,1151.000000,303.000000,0.048270,14039170.953222,0.000000
0.500000,6.500000,48.751620,26.455041,926.000000,169.000000,0.069658,10148103.296186,0.000000
0.500000,7.500000,47.057203,27.430940,944.000000,78.000000,0.062538,10910618.866256,0.000000
0.500000,8.500000,46.996725,37.632114,2443.000000,48.000000,0.033186,20534552.034441,0.000000

1.500000,0.500000,46.996725,37.632114,2443.000000,48.000000,0.033186,20534552.034441,0.000000
1.500000,1.500000,50.197855,36.176429,2517.000000,27.000000,0.038356,18976642.944781,0.000000
1.500000,2.500000,51.124685,42.530510,2775.000000,13.000000,0.028264,26228241.966464,0.000000
1.500000,3.500000,46.257812,31.079597,2176.000000,8.000000,0.047889,14006149.505615,0.000000
1.500000,4.500000,51.128635,39.294622,1788.000000,5.000000,0.033113,22388976.510693,0.000000
1.500000,5.500000,52.611474,33.513512,1377.000000,8.000000,0.046843,16285754.910135,0.000000
1.500000,6.500000,48.827266,30.911338,1291.000000,2.000000,0.051101,13854907.020600,0.000000
1.500000,7.500000,57.796083,37.458224,868.000000,3.000000,0.041191,20345219.063237,0.000000
1.500000,8.500000,53.932420,43.596025,2264.000000,6.000000,0.028376,27558893.805153,0.000000

2.500000,0.500000,53.932420,43.596025,2264.000000,6.000000,0.028376,27558893.805153,0.000000
2.500000,1.500000,52.398305,45.126095,2596.000000,5.000000,0.025731,29527284.750333,0.000000
2.500000,2.500000,58.562616,43.632630,2156.000000,4.000000,0.030761,27605192.453278,0.000000
2.500000,3.500000,53.868403,37.118877,1497.000000,0.000000,0.039097,19978259.582179,0.000000
2.500000,4.500000,58.767241,42.292208,1508.000000,0.000000,0.032856,25935147.131963,0.000000
2.500000,5.500000,55.835172,38.469097,1450.000000,2.000000,0.037730,21458136.062069,0.000000
2.500000,6.500000,52.688985,32.161083,926.000000,2.000000,0.050940,14997860.908060,0.000000
2.500000,7.500000,56.181501,31.480322,573.000000,0.000000,0.056691,14369654.968035,0.000000
2.500000,8.500000,58.038036,46.998858,2077.000000,0.000000,0.026275,32028943.153677,0.000000

3.500000,0.500000,58.038036,46.998858,2077.000000,0.000000,0.026275,32028943.153677,0.000000
3.500000,1.500000,58.872545,45.227920,2291.000000,1.000000,0.028781,29660688.500406,0.000000
3.500000,2.500000,58.110076,44.193295,1717.000000,0.000000,0.029754,28319185.694530,0.000000
3.500000,3.500000,56.497207,40.174269,1611.000000,0.000000,0.035005,23402592.608776,0.000000
3.500000,4.500000,69.243339,47.580961,1126.000000,1.000000,0.030585,32827244.416646,0.000000
3.500000,5.500000,64.118977,40.385027,1017.000000,0.000000,0.039314,23648781.469203,0.000000
3.500000,6.500000,60.427704,38.086387,823.000000,0.000000,0.041658,21033306.198317,0.000000
3.500000,7.500000,59.451923,30.006772,416.000000,0.000000,0.066028,13055891.965607,0.000000
3.500000,8.500000,63.467290,40.959849,1712.000000,0.000000,0.037830,24326783.550965,0.000000

4.500000,0.500000,63.467290,40.959849,1712.000000,0.000000,0.037830,24326783.550965,0.000000
4.500000,1.500000,70.139661,52.191784,1654.000000,0.000000,0.025749,39497743.472824,0.000000
4.500000,2.500000,67.017765,48.538234,1745.000000,0.000000,0.028446,34161422.071412,0.000000
4.500000,3.500000,61.699208,50.168863,1516.000000,0.000000,0.024514,36495264.621522,0.000000
4.500000,4.500000,65.911577,45.571009,1097.000000,0.000000,0.031738,30112394.834175,0.000000
4.500000,5.500000,66.564777,38.932346,988.000000,0.000000,0.043916,21978049.986477,0.000000
4.500000,6.500000,63.848821,36.007946,721.000000,0.000000,0.049244,18800296.202108,0.000000
4.500000,7.500000,58.485130,30.911265,538.000000,0.000000,0.061209,13854841.124708,0.000000
4.500000,8.500000,81.162585,54.682411,1470.000000,0.000000,0.027143,43357408.205146,0.000000

