#channel,mean,dev,hits_per_channel,hits_per_packet,photo_e,gain_pmt,rate_per_channel,gain_constant,normalized_rate
1,1562.389640,31.254030,444.000000,22416.000000,1.599474,14163808.758928,0.807470,16,0.000000
2,13.603943,34.965637,558.000000,3942.000000,0.011127,17727638.761536,1.014793,13,0.000000
3,13.306947,30.312226,619.000000,1233.000000,0.014482,13323049.783938,1.125729,18,0.000000
4,16.412950,34.687985,695.000000,605.000000,0.013640,17447216.345261,1.263945,15,0.000000
5,16.620579,37.276286,622.000000,270.000000,0.011961,20148062.154692,1.131185,17,0.000000
6,10.052920,27.570890,548.000000,125.000000,0.013225,11022232.525247,0.996607,19,0.000000
7,11.547325,24.466021,486.000000,66.000000,0.019291,8679499.441944,0.883852,10,0.000000
8,13.086047,26.309617,430.000000,31.000000,0.018905,10036841.322663,0.782009,10,0.000000
9,14.767273,35.885277,550.000000,17.000000,0.011467,18672420.183525,1.000244,11,0.000000
10,44.931751,57.835359,674.000000,16.000000,0.013433,48501467.322680,1.225754,20,0.000000
11,18.679666,47.696005,718.000000,3.000000,0.008211,32986179.270068,1.305773,17,0.000000
12,12.852018,39.481452,669.000000,3.000000,0.008245,22602383.324495,1.216660,16,0.000000
13,35.028476,33.661795,597.000000,2.000000,0.030913,16430188.409945,1.085719,13,0.000000
14,12.815832,30.269712,619.000000,6.000000,0.013987,13285703.932407,1.125729,14,0.000000
15,14.648995,34.991645,547.000000,1.000000,0.011964,17754020.668307,0.994788,15,0.000000
16,11.948276,21.939580,406.000000,1.000000,0.024823,6979505.170290,0.738362,16,0.000000
17,16.948960,39.168069,529.000000,0.000000,0.011048,22244995.882674,0.962053,17,0.000000
18,31.929478,67.442077,709.000000,0.000000,0.007020,65952288.934322,1.289405,18,0.000000
19,22.891702,48.272665,711.000000,1.000000,0.009824,33788627.172032,1.293043,19,0.000000
20,18.067742,35.655731,620.000000,0.000000,0.014212,18434301.353932,1.127548,20,0.000000
21,15.546531,34.515654,591.000000,0.000000,0.013050,17274289.999614,1.074808,11,0.000000
22,17.273490,37.083004,596.000000,0.000000,0.012561,19939663.217856,1.083901,12,0.000000
23,33.007394,32.753941,541.000000,0.000000,0.030767,15555899.392171,0.983876,13,0.000000
24,12.726115,18.347793,314.000000,1.000000,0.037803,4881302.108353,0.571048,14,0.000000
25,18.532491,40.200135,554.000000,0.000000,0.011468,23432737.548519,1.007519,15,0.000000
26,22.635581,62.504994,697.000000,0.000000,0.005794,56649677.860713,1.267582,16,0.000000
