#x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
199.500000,0.000000,8.000000,1.000000,14.000000,1.000000,3.000000,0.000000,1.000000,9.000000,42.000000,13.000000,7.000000,9.000000,6.000000,5.000000,1.000000,18.000000,15.000000,18.000000,6.000000,3.000000,9.000000,4.000000,3.000000,11.000000,19.000000,8.000000,8.000000,13.000000,4.000000,0.000000,0.000000,15.000000,15.000000,15.000000,9.000000,15.000000,6.000000,4.000000,0.000000,10.000000,39.000000,13.000000,16.000000,18.000000,155.000000,0.000000,24.000000,175.000000,160.000000,180.000000,232.000000,216.000000,245.000000,246.000000,0.000000,122.000000,90.000000,85.000000,75.000000,65.000000,68.000000,56.000000,73.000000
218.500000,0.000000,5.000000,3.000000,6.000000,4.000000,0.000000,3.000000,4.000000,4.000000,22.000000,14.000000,6.000000,6.000000,2.000000,2.000000,1.000000,10.000000,19.000000,4.000000,9.000000,5.000000,3.000000,3.000000,1.000000,11.000000,15.000000,10.000000,6.000000,7.000000,4.000000,3.000000,0.000000,6.000000,16.000000,7.000000,7.000000,5.000000,3.000000,5.000000,0.000000,5.000000,25.000000,9.000000,6.000000,7.000000,123.000000,0.000000,20.000000,172.000000,159.000000,160.000000,227.000000,218.000000,250.000000,253.000000,0.000000,126.000000,68.000000,57.000000,57.000000,52.000000,77.000000,55.000000,47.000000
237.500000,0.000000,3.000000,4.000000,2.000000,2.000000,1.000000,2.000000,1.000000,2.000000,19.000000,12.000000,4.000000,11.000000,2.000000,4.000000,1.000000,4.000000,7.000000,9.000000,2.000000,7.000000,5.000000,1.000000,1.000000,2.000000,8.000000,11.000000,4.000000,3.000000,2.000000,1.000000,0.000000,10.000000,13.000000,5.000000,4.000000,3.000000,5.000000,2.000000,0.000000,4.000000,22.000000,9.000000,7.000000,7.000000,92.000000,0.000000,10.000000,173.000000,181.000000,188.000000,203.000000,216.000000,242.000000,199.000000,0.000000,119.000000,65.000000,61.000000,55.000000,61.000000,68.000000,38.000000,48.000000
256.500000,0.000000,2.000000,2.000000,3.000000,2.000000,1.000000,0.000000,0.000000,5.000000,17.000000,8.000000,1.000000,4.000000,2.000000,0.000000,0.000000,8.000000,6.000000,7.000000,3.000000,1.000000,0.000000,1.000000,1.000000,4.000000,3.000000,5.000000,6.000000,4.000000,1.000000,0.000000,0.000000,6.000000,6.000000,8.000000,6.000000,2.000000,1.000000,1.000000,0.000000,1.000000,21.000000,7.000000,5.000000,3.000000,95.000000,0.000000,12.000000,172.000000,173.000000,183.000000,189.000000,218.000000,225.000000,179.000000,0.000000,81.000000,60.000000,53.000000,62.000000,38.000000,43.000000,35.000000,36.000000
275.500000,0.000000,2.000000,3.000000,2.000000,1.000000,2.000000,1.000000,1.000000,0.000000,6.000000,2.000000,1.000000,3.000000,1.000000,1.000000,0.000000,2.000000,18.000000,2.000000,1.000000,3.000000,2.000000,1.000000,0.000000,4.000000,8.000000,5.000000,1.000000,3.000000,0.000000,1.000000,0.000000,4.000000,5.000000,9.000000,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,14.000000,3.000000,4.000000,7.000000,81.000000,0.000000,8.000000,176.000000,179.000000,175.000000,202.000000,170.000000,211.000000,148.000000,0.000000,102.000000,69.000000,48.000000,40.000000,38.000000,29.000000,36.000000,33.000000
294.500000,0.000000,2.000000,1.000000,2.000000,1.000000,0.000000,1.000000,0.000000,1.000000,6.000000,10.000000,2.000000,1.000000,1.000000,1.000000,0.000000,1.000000,4.000000,4.000000,2.000000,0.000000,2.000000,3.000000,1.000000,0.000000,9.000000,1.000000,2.000000,1.000000,0.000000,1.000000,0.000000,1.000000,6.000000,4.000000,1.000000,3.000000,0.000000,0.000000,0.000000,3.000000,9.000000,5.000000,1.000000,6.000000,61.000000,1.000000,8.000000,142.000000,167.000000,177.000000,163.000000,151.000000,172.000000,122.000000,0.000000,87.000000,37.000000,40.000000,47.000000,35.000000,27.000000,24.000000,25.000000
313.500000,0.000000,2.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,2.000000,2.000000,2.000000,1.000000,0.000000,1.000000,2.000000,5.000000,1.000000,2.000000,1.000000,1.000000,2.000000,0.000000,4.000000,2.000000,0.000000,1.000000,2.000000,0.000000,0.000000,1.000000,1.000000,2.000000,0.000000,0.000000,3.000000,0.000000,1.000000,0.000000,1.000000,5.000000,0.000000,4.000000,3.000000,68.000000,0.000000,2.000000,139.000000,194.000000,155.000000,175.000000,112.000000,151.000000,116.000000,0.000000,62.000000,37.000000,47.000000,33.000000,41.000000,28.000000,16.000000,16.000000
332.500000,0.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,6.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,4.000000,1.000000,2.000000,0.000000,0.000000,0.000000,2.000000,5.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,4.000000,1.000000,4.000000,4.000000,0.000000,1.000000,0.000000,3.000000,1.000000,1.000000,3.000000,0.000000,57.000000,0.000000,1.000000,121.000000,175.000000,137.000000,141.000000,106.000000,136.000000,91.000000,0.000000,58.000000,38.000000,50.000000,34.000000,32.000000,19.000000,19.000000,23.000000
351.500000,0.000000,0.000000,2.000000,3.000000,0.000000,1.000000,1.000000,0.000000,0.000000,2.000000,4.000000,3.000000,2.000000,1.000000,1.000000,0.000000,2.000000,5.000000,2.000000,2.000000,2.000000,0.000000,0.000000,0.000000,1.000000,2.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,4.000000,0.000000,0.000000,3.000000,2.000000,0.000000,0.000000,2.000000,7.000000,4.000000,0.000000,0.000000,59.000000,0.000000,4.000000,110.000000,137.000000,152.000000,133.000000,102.000000,141.000000,92.000000,0.000000,70.000000,38.000000,26.000000,35.000000,20.000000,26.000000,15.000000,14.000000
370.500000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,2.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,3.000000,1.000000,3.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,4.000000,0.000000,3.000000,1.000000,49.000000,0.000000,2.000000,89.000000,146.000000,147.000000,115.000000,92.000000,108.000000,69.000000,0.000000,55.000000,23.000000,32.000000,24.000000,23.000000,15.000000,14.000000,11.000000
389.500000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,2.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,5.000000,0.000000,1.000000,1.000000,42.000000,0.000000,4.000000,82.000000,145.000000,130.000000,87.000000,92.000000,90.000000,52.000000,0.000000,47.000000,21.000000,22.000000,26.000000,14.000000,11.000000,15.000000,12.000000
408.500000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,39.000000,0.000000,0.000000,87.000000,137.000000,112.000000,94.000000,53.000000,90.000000,59.000000,0.000000,48.000000,26.000000,28.000000,37.000000,19.000000,16.000000,16.000000,9.000000
427.500000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,4.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,2.000000,1.000000,0.000000,0.000000,0.000000,4.000000,2.000000,0.000000,0.000000,38.000000,0.000000,0.000000,78.000000,113.000000,83.000000,65.000000,51.000000,76.000000,58.000000,0.000000,30.000000,12.000000,18.000000,18.000000,13.000000,17.000000,10.000000,10.000000
446.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,0.000000,0.000000,33.000000,0.000000,0.000000,71.000000,104.000000,95.000000,74.000000,57.000000,73.000000,49.000000,0.000000,31.000000,19.000000,15.000000,15.000000,15.000000,9.000000,7.000000,8.000000
465.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,27.000000,0.000000,0.000000,59.000000,103.000000,92.000000,76.000000,50.000000,59.000000,45.000000,0.000000,30.000000,15.000000,20.000000,21.000000,11.000000,10.000000,6.000000,7.000000
484.500000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,30.000000,0.000000,1.000000,62.000000,92.000000,67.000000,63.000000,48.000000,67.000000,40.000000,0.000000,25.000000,23.000000,15.000000,11.000000,17.000000,6.000000,8.000000,5.000000
503.500000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,24.000000,0.000000,1.000000,50.000000,65.000000,68.000000,61.000000,48.000000,50.000000,42.000000,0.000000,28.000000,11.000000,11.000000,5.000000,5.000000,4.000000,6.000000,7.000000
522.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.000000,0.000000,0.000000,49.000000,78.000000,54.000000,57.000000,44.000000,52.000000,33.000000,0.000000,35.000000,9.000000,8.000000,12.000000,5.000000,8.000000,5.000000,4.000000
541.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,38.000000,0.000000,0.000000,42.000000,68.000000,51.000000,41.000000,38.000000,45.000000,40.000000,0.000000,24.000000,15.000000,8.000000,7.000000,9.000000,8.000000,0.000000,3.000000
560.500000,0.000000,0.000000,0.000000,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,26.000000,0.000000,1.000000,39.000000,49.000000,48.000000,38.000000,37.000000,55.000000,35.000000,0.000000,24.000000,14.000000,11.000000,7.000000,8.000000,4.000000,4.000000,0.000000
579.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,22.000000,0.000000,0.000000,50.000000,43.000000,41.000000,49.000000,44.000000,39.000000,26.000000,0.000000,22.000000,6.000000,8.000000,10.000000,5.000000,4.000000,2.000000,1.000000
598.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.000000,0.000000,0.000000,41.000000,50.000000,43.000000,44.000000,32.000000,39.000000,38.000000,0.000000,17.000000,8.000000,1.000000,4.000000,6.000000,5.000000,2.000000,1.000000
617.500000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.000000,0.000000,0.000000,39.000000,46.000000,36.000000,32.000000,29.000000,44.000000,28.000000,0.000000,22.000000,4.000000,8.000000,7.000000,7.000000,4.000000,4.000000,1.000000
636.500000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,20.000000,0.000000,0.000000,36.000000,39.000000,39.000000,29.000000,25.000000,27.000000,20.000000,0.000000,17.000000,2.000000,5.000000,5.000000,1.000000,2.000000,3.000000,1.000000
655.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.000000,0.000000,0.000000,21.000000,46.000000,36.000000,36.000000,35.000000,27.000000,28.000000,0.000000,18.000000,5.000000,2.000000,6.000000,3.000000,6.000000,3.000000,1.000000
674.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.000000,0.000000,0.000000,27.000000,33.000000,47.000000,34.000000,29.000000,26.000000,23.000000,0.000000,17.000000,9.000000,3.000000,1.000000,2.000000,5.000000,2.000000,3.000000
693.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,27.000000,36.000000,37.000000,31.000000,33.000000,25.000000,28.000000,0.000000,14.000000,3.000000,4.000000,6.000000,3.000000,3.000000,1.000000,1.000000
712.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,18.000000,0.000000,0.000000,32.000000,40.000000,31.000000,28.000000,31.000000,26.000000,21.000000,0.000000,11.000000,3.000000,2.000000,1.000000,2.000000,1.000000,0.000000,2.000000
731.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,13.000000,0.000000,1.000000,33.000000,31.000000,37.000000,30.000000,25.000000,33.000000,15.000000,0.000000,14.000000,2.000000,2.000000,1.000000,2.000000,0.000000,0.000000,0.000000
750.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,0.000000,0.000000,28.000000,38.000000,42.000000,23.000000,34.000000,24.000000,14.000000,0.000000,5.000000,1.000000,3.000000,3.000000,4.000000,2.000000,3.000000,1.000000
769.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.000000,0.000000,0.000000,38.000000,35.000000,36.000000,22.000000,24.000000,32.000000,13.000000,0.000000,10.000000,2.000000,3.000000,3.000000,1.000000,1.000000,0.000000,0.000000
788.500000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.000000,0.000000,0.000000,24.000000,41.000000,26.000000,22.000000,23.000000,32.000000,19.000000,0.000000,13.000000,0.000000,1.000000,0.000000,2.000000,0.000000,2.000000,1.000000
